event,epoch,global_step,step_in_epoch,loss_total,loss_hard_ce,loss_kd_kl,loss_aux,alpha_hard,temperature,lr,grad_norm_l2,tok_acc,tok_count,tok_per_sec,seconds_since_start,cuda_mem_alloc_mb,cuda_mem_reserved_mb,cuda_max_mem_alloc_mb,cuda_max_mem_reserved_mb,ts
kd_step,1,1,3,9.884517669677734,6.679736137390137,13.089300155639648,0.0,0.5,2.0,6.568144499178982e-07,5.9742916206847765,0.0003691334153629812,56890,8990.16661240606,6.3280651569366455,1943.373046875,21234.0,19590.8271484375,21234.0,2026-02-19T19:18:38
kd_step,1,2,7,9.819109916687012,6.642765522003174,12.995454788208008,0.0,0.5,2.0,1.3136288998357963e-06,6.091916216812979,0.00043321549871768215,57708,16496.532535794413,9.826244115829468,1944.69189453125,21670.0,19787.68505859375,21670.0,2026-02-19T19:18:41
kd_step,1,3,11,9.897512435913086,6.68290901184082,13.112114906311035,0.0,0.5,2.0,1.970443349753695e-06,5.975389599492004,0.0005843932622894466,58180,16336.507677819516,13.387592554092407,1944.1279296875,21670.0,19788.19970703125,21670.0,2026-02-19T19:18:45
kd_step,1,4,15,10.230178833007812,6.65865421295166,13.801702499389648,0.0,0.5,2.0,2.6272577996715927e-06,6.116334336808573,0.0004974725186552195,62315,17241.067818252184,17.001927614212036,1944.1279296875,21672.0,19788.58447265625,21672.0,2026-02-19T19:18:48
kd_step,1,5,19,10.185916900634766,6.629668235778809,13.742165565490723,0.0,0.5,2.0,3.2840722495894914e-06,6.1389040989536365,0.0005740043556801107,59233,16174.886419047054,20.663963317871094,1944.1279296875,21672.0,19788.58447265625,21672.0,2026-02-19T19:18:52
kd_step,1,6,23,10.046655654907227,6.624373912811279,13.468937873840332,0.0,0.5,2.0,3.94088669950739e-06,6.018954554689282,0.0006939860187206961,59079,15873.716482855612,24.38577699661255,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:18:56
kd_step,1,7,27,9.925846099853516,6.569065570831299,13.282626152038574,0.0,0.5,2.0,4.5977011494252875e-06,6.155693435537024,0.0007361429455756136,59771,15823.403446137268,28.16315460205078,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:00
kd_step,1,8,31,10.0944242477417,6.537474155426025,13.651374816894531,0.0,0.5,2.0,5.254515599343185e-06,6.098702775147881,0.001131112044727402,61886,16155.885587100123,31.99371099472046,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:03
kd_step,1,9,35,9.861794471740723,6.539650917053223,13.183938026428223,0.0,0.5,2.0,5.911330049261084e-06,5.9924550049081144,0.0014463504877228388,59460,15341.691878404914,35.869423151016235,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:07
kd_step,1,10,39,10.042560577392578,6.505138874053955,13.579981803894043,0.0,0.5,2.0,6.568144499178983e-06,5.872681105440893,0.0022620615145683516,59238,15079.300691702076,39.79785490036011,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:11
kd_step,1,11,43,9.549033164978027,6.403518199920654,12.694548606872559,0.0,0.5,2.0,7.22495894909688e-06,5.881851032703286,0.005226802910875447,59501,14544.433206529728,43.888842821121216,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:15
kd_step,1,12,47,9.747526168823242,6.41734504699707,13.077707290649414,0.0,0.5,2.0,7.88177339901478e-06,5.930877624528658,0.0117096018735363,59353,14073.943298202068,48.106061697006226,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:20
kd_step,1,13,51,9.884976387023926,6.365420341491699,13.404532432556152,0.0,0.5,2.0,8.538587848932677e-06,5.759690722863644,0.021075905070942293,62868,14568.687510214311,52.42134690284729,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:24
kd_step,1,14,55,9.757024765014648,6.373338222503662,13.140711784362793,0.0,0.5,2.0,9.195402298850575e-06,5.3832102548195415,0.028238110491090245,59317,13586.879973559506,56.787100315093994,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:28
kd_step,1,15,59,9.43576431274414,6.25,12.621529579162598,0.0,0.5,2.0,9.852216748768475e-06,5.191151864957082,0.05088848997875529,60721,13884.826516439178,61.16029143333435,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:33
kd_step,1,16,63,9.705896377563477,6.154313564300537,13.257479667663574,0.0,0.5,2.0,1.050903119868637e-05,5.380848543110562,0.09566733067729084,60240,14010.069964161507,65.4600555896759,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:37
kd_step,1,17,67,9.313322067260742,6.189270496368408,12.437374114990234,0.0,0.5,2.0,1.116584564860427e-05,4.696160681228721,0.08532162949908494,59012,13594.390692679686,69.80096411705017,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:41
